Edad,Género,Estado Civil al momento de ingresar a la Universidad,Nacionalidad,Provincia donde reside,Indique la región de la cual viene,Indique el promedio con el que ingresó a la Universidad,Edad de ingreso a la universidad,Carrera en la que estudia,Puede indicarnos las razones por las cuales usted ingresó a esta carrera,Categorías de las razones de ingreso a carrera,¿Sabía de la carrera antes que entrara a la universidad?,Nivel actual de la carrera,¿Tuvo motivación familiar para ingresar a la carrera?,¿Tiene en su círculo cercano de amistades o conocidos alguien que estudiara una carrera similar o la misma carrera que usted escogió?,¿Tuvo motivación por los profesores de secundaria para escoger la carrera?,Puede indicarnos acerca de factores externos que influyeran en su selección de carrera,Su colegio era:,¿Cuál fue su emoción al ingresar a la carrera?,¿Sabía usted al momento de ingresar a la carrera que existían diferentes oportunidades de becas en la UNA?,¿Tiene actualmente o tuvo una beca universitaria?,¿Usted al ingresar a la universidad estaba trabajando?,Nivel escolar de su madre,Nivel escolar de su padre,¿Cuáles fueron los factores por los cuales ingresó a la UNA?,Categorías de los factores de ingreso a la UNA
23,Hombre,Soltero (a),Costarricense,Heredia,Urbana,,18,Ingeniería en sistemas de la información,Gusto,Interés personal,Sí,Cuarto,Sí,Sí,No,Mercado laboral,Privado,"Felicidad,Ansiedad,Entusiasmo",Sí,No,No,Primaria,Secundaria,Cercanía de lugar de habitación y prestigio de la universidad,Cercanía Geográfica_Reputación
21,Hombre,Soltero (a),Costarricense,San José,Urbana,80.95,18,Ingeniería en sistemas de la información,Me gusta la programación y temas relacionados a la tecnología,Interés personal,Sí,Cuarto,No,No,No,,Privado,Felicidad,Sí,No,No,Técnico,Bachillerato Universitario,No ingresé al TEC,Otros
21,Hombre,Soltero (a),Costarricense,Heredia,Urbana,No me acuerdo,18,Ingeniería en sistemas de la información,Me gusta el área y ganar bien,Interés personal_Proyecciones económicas,Sí,Cuarto,Sí,Sí,Si,,CTP público,"Felicidad,Entusiasmo",Sí,Sí,No,Bachillerato Universitario,Secundaria,Me dió el corte,Admisión a la carrera
23,Hombre,Soltero (a),Costarricense,Heredia,Urbana,600,19,Ingeniería en sistemas de la información,Siempre me ha gustado usar la computadora y hacer programación,Interés personal,Sí,Cuarto,Sí,No,Si,"En el curso de informática del colegio, vimos algo de HTML lo cual me gustó ",Semiprivado,Felicidad,No,No,No,Bachillerato Universitario,Técnico,Principalmente por cercanía,Cercanía Geográfica
25,Hombre,Soltero (a),Costarricense,Heredia,Urbana,720,18,Ingeniería en sistemas de la información,"La única que se adaptaba a mi forma de ser, no hay mas carreras tecnológicas o de logística en la UNA",Otros,Sí,Segundo,No,Sí,No,"Un amigo me convenció de entrar a la carrera, luego ese amigo dejo botada la carrera",Público Académico (Liceo),Entusiasmo,Sí,No,No,Técnico,Técnico,Era la universidad mas cercana a mi casa,Cercanía Geográfica
21,Hombre,Soltero (a),Costarricense,San José,Urbana,No recuerdo,18,Ingeniería en sistemas de la información,Ganar plata y me gusta el área,Proyecciones económicas_Interés personal,Sí,Cuarto,Sí,Sí,Si,No,CTP público,Felicidad,No,Sí,No,Secundaria,Licenciatura,Por el prestigio,Reputación
21,Hombre,Soltero (a),Costarricense,Heredia,Urbana,8,18,Economía,"Test de habilidades, siempre me llamó la atención esta carrera",Interés personal,No,Cuarto,Sí,Sí,No,Exámenes o test para saber en qué tenia buenas habilidades,Semiprivado,Miedo,Sí,Sí,No,Bachillerato Universitario,Secundaria,Cercanía,Cercanía Geográfica
21,Hombre,Soltero (a),Costarricense,San José,Urbana,717,19,Ingeniería en sistemas de la información,"Un conocido me dio clases pequeñas y me explicó un poco de como iba, como me terminó gustando quise ingresar ",Experiencia académica previa,Sí,Segundo,Sí,Sí,Si,,Público Académico (Liceo),"Miedo,Ansiedad",Sí,Sí,No,Secundaria incompleta,Secundaria incompleta,Me pareció que era la universidad con mejor plan de estudios,Factores Curriculares
20,Hombre,Soltero (a),Costarricense,Heredia,Urbana,,17,Ingeniería en sistemas de la información,Oportunidad y beneficio económico,Amplia oportunidad laboral_Proyecciones económicas,Sí,Cuarto,Sí,Sí,Si,,Humanístico,Miedo,Sí,Sí,No,Secundaria,Secundaria incompleta,Superación personal,Interés personal
21,Hombre,Soltero (a),Costarricense,Heredia,Urbana,802,18,Ingeniería en sistemas de la información,Gusto por la tecnología,Interés personal,No,Cuarto,No,Sí,No,Mucha gente la estudiaba,Semiprivado,"Felicidad,Entusiasmo",Sí,No,No,Licenciatura,Maestría,"Por cercanía, Buenas recomendaciones de la gente",Cercanía Geográfica_Recomendaciones
38,Hombre,Soltero (a),Costarricense,Heredia,Urbana,89,21,Ingeniería en sistemas de la información,Referencias de amigos,Recomendaciones,Sí,Egresado (a),Sí,No,No,Referencias de amigos,Público Académico (Liceo),"Ansiedad,Entusiasmo",Sí,Sí,No,Posgrado,Bachillerato Universitario,Reconocimiento como mejor Universidad para la carrera en específico.,Reputación
38,Hombre,Soltero (a),Costarricense,Alajuela,Urbana,864,17,Ingeniería en sistemas de la información,Oportunidad laboral,Amplia oportunidad laboral,Sí,Egresado (a),No,Sí,No,,Semiprivado,Entusiasmo,No,No,No,Técnico,Bachillerato Universitario,El plan de estudio me gustó más que el de otras universidades,Factores Curriculares
